province;start_date;end_date
Latium et Campania (Regio I);-338;476
Venetia et Histria (Regio X);-200;476
Asia;-129;476
Germania Superior;-16;476
Moesia Inferior;-28;476
Narbonensis;-121;476
Dacia;107;275
Hispania Citerior;-197;459
Lugdunensis;-27;476
Galatia;-25;476
Africa Proconsularis;-146;439
Transpadana (Regio XI);-200;476
Umbria (Regio VI);-295;476
Aemilia (Regio VIII);-200;476
Aegyptus;-30;476
Apulia et Calabria (Regio II);-216;476
Raetia;-15;476
Pannonia Superior;-27;433
Etruria (Regio VII);-264;476
Dalmatia;-32;476
Achaia;-167;476
Numidia;-25;432
Pannonia Inferior;-27;433
Baetica;-197;476
Samnium (Regio IV);-290;476
Germania Inferior;-16;476
Lusitania;-27;410
Britannia;43;410
Belgica;-22;476
Noricum;-16;476
Mauretania Caesariensis;42;476
Moesia Superior;-28;476
Sardinia;-237;455
Macedonia;-147;476
Liguria (Regio IX);-200;476
Syria;-63;198
Aquitania;-27;476
Arabia;106;476
Bruttium et Lucania (Regio III);-264;476
Thracia;46;476
Sicilia;-241;476
Cappadocia;18;476
Picenum (Regio V);-268;476
Cyrene;-67;297
Mauretania Tingitana;42;476
Bithynia et Pontus;-63;300
Cilicia;-63;476
Alpes Maritimae;63;476
Alpes Cottiae;63;476
Creta;-67;297
Epirus;-167;476
Alpes Graiae;-16;476
Iudaea;6;132
Corsica;-237;455
Cyprus;-58;476
Alpes Poeninae;-15;476
Lycia et Pamphylia;43;476
