"","status_clean","n","status_ratio"
"1","military personnel",13378,13.5988452468082
"2","senatorial order",5095,5.17910872570546
"3","freedmen / freedwomen",3897,3.96133203220298
"4","decurial order, higher local offices",1902,1.93339838985118
"5","equestrian order",1483,1.50748149955274
"6","slaves",1156,1.1750833536635
"7","Augustales",569,0.578393104009108
"8","lower local offices, administration of imperial estates",270,0.27445718467919
"9","equestrian order; decurial order, higher local offices",161,0.16365780271611
"10","decurial order, higher local offices; military personnel",62,0.0630235016670733
"11","rulers (foreign)",41,0.0416768317475807
"12","emperor / imperial household",28,0.0284622265593234
"13","Augustales; freedmen / freedwomen",23,0.0233796861023014
"14","decurial order, higher local offices; Augustales",15,0.0152476213710661
"15","equestrian order; military personnel",11,0.0111815890054485
"16","decurial order, higher local offices; freedmen / freedwomen",7,0.00711555663983085
"17","decurial order, higher local offices; lower local offices, administration of imperial estates",6,0.00609904854842645
"18","senatorial order; decurial order, higher local offices",5,0.00508254045702204
"19","senatorial order; equestrian order",5,0.00508254045702204
"20","decurial order, higher local offices; equestrian order",3,0.00304952427421322
"21","lower local offices, administration of imperial estates; military personnel",3,0.00304952427421322
"22","lower local offices, administration of imperial estates; freedmen / freedwomen",2,0.00203301618280882
"23","Augustales; decurial order, higher local offices",1,0.00101650809140441
"24","emperor / imperial household; decurial order, higher local offices",1,0.00101650809140441
"25","equestrian order; freedmen / freedwomen",1,0.00101650809140441
"26","equestrian order; lower local offices, administration of imperial estates",1,0.00101650809140441
"27","freedmen / freedwomen; military personnel",1,0.00101650809140441
"28","lower local offices, administration of imperial estates; Augustales",1,0.00101650809140441
